File,Total,Status Report,Query,Plan Announcement,Coordination,Help Request,Help Offer,Acknowledgment,Instruction,Other
3073,6,3,0,0,1,0,0,0,1,1
3074,6,2,1,0,1,0,0,0,1,1
3075,9,6,0,1,0,0,0,1,1,0
3076,9,6,0,0,0,0,0,0,3,0
3077,11,7,0,1,0,0,0,1,2,0
3078,11,7,0,0,0,0,0,1,3,0
3079,13,10,0,0,2,0,0,0,1,0
3080,13,10,0,0,2,0,0,0,1,0
3081,13,10,0,0,2,0,0,0,1,0
3082,14,11,0,0,2,0,0,0,1,0
3083,12,8,0,0,3,0,0,0,1,0
3084,12,8,0,0,3,0,0,0,1,0
3085,11,7,0,0,3,0,0,0,1,0
3086,12,8,0,0,3,0,0,0,1,0
3087,12,8,1,0,1,0,1,0,1,0
3088,12,8,1,0,1,0,1,0,1,0
3089,13,9,1,0,1,0,1,0,1,0
3090,13,9,1,0,1,0,1,0,1,0
3091,8,6,0,0,0,0,1,0,1,0
3092,8,6,0,0,0,0,1,0,1,0
3093,8,6,0,0,0,0,1,0,1,0
3094,7,5,0,0,0,0,1,0,1,0
3095,12,9,1,0,1,0,0,0,1,0
3096,11,8,1,0,1,0,0,0,1,0
3097,10,7,1,0,1,0,0,0,1,0
3098,12,9,1,0,1,0,0,0,1,0
3099,28,18,5,0,3,1,0,0,1,0
3100,29,18,4,0,4,1,0,0,1,1
3101,28,17,5,0,3,1,0,0,1,1
3102,20,9,3,3,4,0,0,0,1,0
3103,20,10,2,3,3,0,1,0,1,0
3104,21,10,3,3,3,0,1,0,1,0
3105,10,5,3,1,0,0,0,0,1,0
3106,10,6,2,1,0,0,0,0,1,0
3107,10,6,2,1,0,0,0,0,1,0
3108,11,6,1,0,2,0,1,0,1,0
3109,11,6,1,0,2,0,1,0,1,0
3110,11,6,1,0,2,0,1,0,1,0
3111,26,9,5,0,6,4,0,0,1,1
3112,28,10,4,0,7,4,0,0,1,2
3113,26,9,5,0,7,3,0,0,1,1
3114,22,9,2,2,8,0,0,0,1,0
3115,22,8,3,2,8,0,0,0,1,0
3116,22,8,3,2,8,0,0,0,1,0
3117,14,7,2,0,3,0,0,0,2,0
3118,14,7,2,0,3,0,0,0,2,0
3119,13,7,1,0,3,0,0,0,2,0
3120,8,3,0,3,1,0,0,0,1,0
3121,8,3,0,3,1,0,0,0,1,0
3122,8,3,0,3,1,0,0,0,1,0
3123,15,7,2,0,5,0,0,0,1,0
3124,15,7,2,0,5,0,0,0,1,0
3125,15,7,2,0,5,0,0,0,1,0
3126,13,5,1,1,2,1,1,1,1,0
3127,13,5,2,1,2,1,0,1,1,0
3128,13,4,3,1,2,1,0,1,1,0
3129,15,8,3,0,3,0,0,0,1,0
3130,15,8,3,0,3,0,0,0,1,0
3131,15,7,3,0,3,0,0,1,1,0
3132,15,8,3,0,3,0,0,0,1,0
3133,13,4,2,3,2,0,0,1,1,0
3134,13,5,2,3,2,0,0,0,1,0
3135,13,5,1,3,3,0,0,0,1,0
3136,13,6,2,2,2,0,0,0,1,0
3137,14,6,2,2,2,0,0,1,1,0
3138,14,6,3,2,1,0,0,1,1,0
3139,14,6,3,2,1,0,0,1,1,0
3140,13,6,3,2,1,0,0,0,1,0
3141,13,4,2,4,2,0,0,0,1,0
3142,13,4,2,4,2,0,0,0,1,0
3143,13,4,2,4,2,0,0,0,1,0
3144,13,3,2,4,2,0,0,1,1,0
3145,43,16,13,1,10,1,0,1,1,0
3146,44,17,13,1,10,1,0,1,1,0
3147,44,17,13,1,10,1,0,1,1,0
3148,44,17,13,1,10,1,0,1,1,0
3149,27,8,5,5,7,1,0,0,1,0
3150,27,6,6,3,9,1,0,0,1,1
3151,27,9,5,3,8,1,0,0,1,0
3152,28,9,5,3,9,1,0,0,1,0
3153,19,4,0,7,7,0,0,0,1,0
3154,19,4,1,7,6,0,0,0,1,0
3155,19,4,1,7,6,0,0,0,1,0
3156,18,3,0,7,7,0,0,0,1,0
3157,31,12,6,1,10,0,1,0,1,0
3158,31,12,6,1,10,0,1,0,1,0
3159,30,11,6,1,10,0,1,0,1,0
3160,31,12,5,1,10,1,1,0,1,0
3161,11,7,1,0,2,0,0,0,1,0
3162,11,7,1,0,2,0,0,0,1,0
3163,11,7,1,0,2,0,0,0,1,0
3164,10,6,1,0,2,0,0,0,1,0
3165,14,2,3,5,2,0,0,1,1,0
3166,14,2,3,5,2,0,0,1,1,0
3167,14,4,3,4,2,0,0,0,1,0
3168,14,2,2,5,3,0,0,1,1,0
3169,38,17,6,0,13,0,1,0,1,0
3170,40,19,6,0,13,0,1,0,1,0
3171,39,18,6,0,13,0,1,0,1,0
3172,40,19,6,0,13,0,1,0,1,0
3173,41,19,7,0,13,0,1,0,1,0
3174,40,19,6,0,13,0,1,0,1,0
3175,22,5,6,1,3,1,0,5,1,0
3176,23,5,6,1,3,1,0,5,1,1
3177,23,5,6,2,3,1,0,5,1,0
3178,23,5,5,2,4,1,0,5,1,0
3179,23,5,6,2,3,1,0,5,1,0
3180,23,4,6,1,3,1,0,5,1,2
3181,16,8,3,0,4,0,0,0,1,0
3182,16,8,4,0,3,0,0,0,1,0
3183,15,8,3,0,3,0,0,0,1,0
3184,16,9,3,0,3,0,0,0,1,0
3185,15,8,2,1,3,0,0,0,1,0
3186,16,8,3,0,3,0,0,0,1,1
3187,5,4,0,0,0,0,0,0,1,0
3188,6,3,1,0,0,0,0,0,1,1
3189,6,4,0,0,0,0,0,0,1,1
3190,6,4,0,0,0,0,0,0,1,1
3191,6,4,0,0,0,0,0,0,1,1
3192,6,4,0,0,0,0,0,0,1,1
3193,11,7,2,0,0,0,0,0,1,1
3194,10,7,1,0,0,0,0,0,1,1
3195,11,7,2,0,0,0,0,0,1,1
3196,11,7,2,0,0,0,0,0,1,1
3197,11,7,2,0,0,0,0,0,1,1
3198,11,7,2,0,0,0,0,0,1,1
3199,11,8,0,1,1,0,0,0,1,0
3200,10,7,0,1,1,0,0,0,1,0
3201,11,8,0,1,1,0,0,0,1,0
3202,10,7,0,1,1,0,0,0,1,0
3203,10,7,0,1,1,0,0,0,1,0
3204,11,8,0,1,1,0,0,0,1,0
3205,26,14,2,1,7,0,1,0,1,0
3206,25,13,2,1,7,0,1,0,1,0
3207,25,14,2,1,7,0,0,0,1,0
3208,26,14,3,1,6,0,1,0,1,0
3209,25,14,2,1,6,0,1,0,1,0
3210,23,12,2,1,6,0,1,0,1,0
3211,17,12,4,0,0,0,0,0,1,0
3212,17,12,4,0,0,0,0,0,1,0
3213,17,11,4,0,0,0,0,0,1,1
3214,17,12,4,0,0,0,0,0,1,0
3215,16,11,4,0,0,0,0,0,1,0
3216,17,12,4,0,0,0,0,0,1,0
3217,21,12,1,3,2,2,0,0,1,0
3218,19,10,1,3,2,2,0,0,1,0
3219,18,8,1,3,3,2,0,0,1,0
3220,21,12,1,2,3,2,0,0,1,0
3221,21,11,1,4,2,2,0,0,1,0
3222,20,11,0,3,3,2,0,0,1,0
3223,19,11,2,1,0,0,0,3,1,1
3224,17,11,2,0,0,0,0,3,1,0
3225,18,11,1,1,0,0,0,3,1,1
3226,19,11,2,1,0,0,0,3,1,1
3227,18,10,2,1,0,0,0,3,1,1
3228,19,11,2,1,0,0,0,3,1,1
3229,2,0,0,0,0,1,0,0,1,0
3230,3,0,0,0,0,1,0,0,2,0
3231,1,0,0,0,0,0,0,0,1,0
3232,1,0,0,0,0,0,0,0,1,0
3233,5,1,0,0,0,3,0,0,1,0
3234,7,1,0,0,0,3,0,0,3,0
3235,1,0,0,0,0,0,0,0,1,0
3236,1,0,0,0,0,0,0,0,1,0
3237,2,0,0,0,0,0,0,0,2,0
3238,1,0,0,0,0,0,0,0,1,0
3239,1,0,0,0,0,0,0,0,1,0
3240,1,0,0,0,0,0,0,0,1,0
3241,18,9,1,0,1,5,0,0,2,0
3242,14,5,1,0,2,5,0,0,1,0
3243,4,1,1,1,0,0,0,0,1,0
3244,3,1,1,0,0,0,0,0,1,0
3245,1,0,0,0,0,0,0,0,1,0
3246,2,0,0,0,0,0,0,0,2,0
3247,2,0,0,0,0,1,0,0,1,0
3248,2,0,0,0,0,1,0,0,1,0
